1 , 16 , 0.69733965
1 , 3 , 0.46072817
1 , 19 , 0.33466733
1 , 4 , 0.33466733
1 , 18 , 0.21083203
2 , 15 , 0.8709359
2 , 14 , 0.7092316
2 , 18 , 0.6814359
2 , 13 , 0.54063284
2 , 7 , 0.33105737
3 , 12 , 0.66473913
3 , 1 , 0.46072817
3 , 17 , 0.38187057
3 , 10 , 0.20797351
3 , 14 , 0.19241872
4 , 19 , 0.77157503
4 , 10 , 0.56112295
4 , 13 , 0.54063284
4 , 8 , 0.54063284
4 , 11 , 0.54063284
5 , 12 , 0.84928846
5 , 17 , 0.62935096
5 , 15 , 0.62935096
5 , 10 , 0.5332414
5 , 14 , 0.3830529
6 , 18 , 0.38187057
6 , 10 , 0.30402687
6 , 17 , 0.14284137
6 , 12 , 0.06016131
6 , 13 , 0.02201112
7 , 8 , 0.8409766
7 , 19 , 0.77157503
7 , 14 , 0.7092316
7 , 13 , 0.54063284
7 , 11 , 0.54063284
8 , 11 , 0.880466
8 , 7 , 0.8409766
8 , 19 , 0.8409766
8 , 9 , 0.8409766
8 , 10 , 0.73730636
9 , 8 , 0.8409766
9 , 11 , 0.8409766
9 , 12 , 0.40378973
9 , 7 , 0.33105737
9 , 19 , 0.33105737
10 , 8 , 0.73730636
10 , 4 , 0.56112295
10 , 5 , 0.5332414
10 , 14 , 0.5332414
10 , 17 , 0.31639776
11 , 8 , 0.880466
11 , 9 , 0.8409766
11 , 4 , 0.54063284
11 , 7 , 0.54063284
11 , 19 , 0.54063284
12 , 5 , 0.84928846
12 , 3 , 0.66473913
12 , 13 , 0.45169863
12 , 8 , 0.45169863
12 , 11 , 0.45169863
13 , 2 , 0.54063284
13 , 7 , 0.54063284
13 , 4 , 0.54063284
13 , 12 , 0.45169863
13 , 15 , 0.38187057
14 , 15 , 0.88767123
14 , 7 , 0.7092316
14 , 2 , 0.7092316
14 , 18 , 0.62935096
14 , 10 , 0.5332414
15 , 14 , 0.88767123
15 , 2 , 0.8709359
15 , 5 , 0.62935096
15 , 18 , 0.5239683
15 , 13 , 0.38187057
16 , 17 , 0.83107495
16 , 1 , 0.69733965
16 , 19 , 0.33466733
16 , 4 , 0.33466733
16 , 18 , 0.21083203
17 , 16 , 0.83107495
17 , 5 , 0.62935096
17 , 18 , 0.5239683
17 , 11 , 0.38187057
17 , 3 , 0.38187057
18 , 2 , 0.6814359
18 , 19 , 0.6814359
18 , 14 , 0.62935096
18 , 17 , 0.5239683
18 , 15 , 0.5239683
19 , 8 , 0.8409766
19 , 4 , 0.77157503
19 , 7 , 0.77157503
19 , 18 , 0.6814359
19 , 11 , 0.54063284
